iter	Accuracy	MultiClass
646	0.9950576606	0.04234165967
647	0.9950576606	0.04231835784
648	0.9951075832	0.04227927859
649	0.9951575059	0.04222751297
650	0.9951575059	0.04220037405
651	0.9951075832	0.04214625997
652	0.9951075832	0.0420118024
653	0.9951575059	0.04197767963
654	0.9951575059	0.0419425802
655	0.9951575059	0.04190493408
656	0.9951575059	0.04187614603
657	0.9951575059	0.04181926409
658	0.9951575059	0.04171350096
659	0.9951075832	0.041670376
660	0.9952074285	0.04162214897
661	0.9953072737	0.04152456387
662	0.9952074285	0.04146895219
663	0.9952573511	0.04142125983
664	0.9952573511	0.04138114542
665	0.9952573511	0.04135516654
666	0.9953571963	0.04127028859
667	0.9955069642	0.04121080499
668	0.9955069642	0.0411753095
669	0.9955069642	0.0411412962
670	0.9954570416	0.04105842972
671	0.9954570416	0.04102259266
672	0.9955568868	0.04098789412
673	0.9956068094	0.04092834233
674	0.9955568868	0.04086225889
675	0.9955568868	0.04076726218
676	0.9956068094	0.04073848348
677	0.9956567321	0.04070941092
678	0.9957565773	0.04065731234
679	0.9958064999	0.0406185453
680	0.9959562678	0.04055068197
681	0.9959063452	0.04048165375
682	0.9959562678	0.04042674066
683	0.9959562678	0.04040020223
684	0.9959562678	0.04037588746
685	0.9959562678	0.04033736707
686	0.996056113	0.04031173396
687	0.9961060356	0.04023395361
688	0.9962058809	0.04018937596
689	0.9961559583	0.04014803542
690	0.9961559583	0.04010481847
691	0.9962058809	0.04006975233
692	0.9961559583	0.04001449986
693	0.9961559583	0.03997559742
694	0.9962058809	0.03992662972
695	0.9961559583	0.03987813706
696	0.9961559583	0.03985261793
697	0.9961060356	0.0397558073
698	0.9962558035	0.0397289915
699	0.9964055714	0.0396117619
700	0.9963556487	0.03956202118
701	0.9965553392	0.03946807592
702	0.9965054166	0.03940343273
703	0.9965054166	0.0393858986
704	0.9965553392	0.03935055662
705	0.9965553392	0.03931516238
706	0.9965054166	0.03928982639
707	0.9965054166	0.03925761928
708	0.9965553392	0.03920597824
709	0.996455494	0.03916832421
710	0.9965054166	0.03911486517
711	0.9966052618	0.03899902152
712	0.9966052618	0.03885599449
713	0.9966052618	0.03882620711
714	0.9966551845	0.03878551536
715	0.9966551845	0.03874882549
716	0.9967051071	0.03867176607
717	0.9967051071	0.03865008363
718	0.9967550297	0.0385711811
719	0.9968049523	0.03854783431
720	0.9968548749	0.03847931923
721	0.9968548749	0.03843170312
722	0.9967550297	0.03839507887
723	0.9967550297	0.03836553417
724	0.9968548749	0.03831099416
725	0.9968548749	0.03825729094
726	0.9968548749	0.0382223374
727	0.9968548749	0.03818843491
728	0.9968049523	0.03815240457
729	0.9967550297	0.03812058758
730	0.9968049523	0.03798208441
731	0.9968049523	0.03793918349
732	0.9969047976	0.03788433703
733	0.9968548749	0.03783634379
734	0.9969547202	0.03776306401
735	0.9969547202	0.03773970621
736	0.9970545654	0.03768987033
737	0.9970046428	0.03765355514
738	0.9969547202	0.03759995148
739	0.9970046428	0.03748416685
740	0.9970046428	0.03743759521
741	0.9969547202	0.03740668456
742	0.9970046428	0.03736979405
743	0.9970545654	0.03728674325
744	0.9970046428	0.03721951215
745	0.9970545654	0.03719363766
746	0.997104488	0.03716471568
747	0.9970545654	0.03706236095
748	0.997104488	0.03704276299
749	0.997104488	0.03702179345
750	0.997104488	0.03697888664
751	0.997104488	0.03693223329
752	0.9972043333	0.03686551385
753	0.9972043333	0.03681403979
754	0.9972043333	0.03678234041
755	0.9972043333	0.03672136556
756	0.9971544107	0.0366385139
757	0.9972043333	0.03662025432
758	0.9971544107	0.03658938972
759	0.9972043333	0.03650380696
760	0.9972542559	0.0364725297
761	0.9972542559	0.03645808437
762	0.9972542559	0.03642697448
763	0.9972542559	0.03635546821
764	0.9972542559	0.0362776227
765	0.9972542559	0.03623959083
766	0.9972542559	0.03617314879
767	0.9973041785	0.03613410373
768	0.9973041785	0.03608357809
769	0.9973041785	0.03604825021
770	0.9973541011	0.03601178692
771	0.9973041785	0.03599522271
772	0.9973541011	0.0359010881
773	0.9973541011	0.03581131119
774	0.9973541011	0.03578164735
775	0.9974539464	0.03569658924
776	0.997503869	0.03561416521
777	0.9974539464	0.03557721721
778	0.9974539464	0.03551695511
779	0.9974539464	0.03541890988
780	0.9974040238	0.03537657619
781	0.9975537916	0.03527583667
782	0.9975537916	0.03525468177
783	0.997503869	0.03520709546
784	0.9975537916	0.03510819648
785	0.9975537916	0.03506875416
786	0.9975537916	0.03500825635
787	0.9976037142	0.03496779505
788	0.9976037142	0.03494293922
789	0.9976536369	0.03484679596
790	0.9977035595	0.03478340877
791	0.9977035595	0.03475617487
792	0.9977035595	0.03469834683
793	0.9977035595	0.0346653765
794	0.9977534821	0.0346475649
795	0.9977534821	0.03457811948
796	0.9977534821	0.03455282286
797	0.9978034047	0.03447005114
798	0.9978034047	0.03443859844
799	0.9978034047	0.0343762448
800	0.9978034047	0.03433472812
801	0.9978034047	0.03430281572
802	0.9978034047	0.03427003025
803	0.9978034047	0.03419560913
804	0.9978533273	0.03411922221
805	0.9978034047	0.0340675549
806	0.9978034047	0.03403914948
807	0.9978533273	0.03395621194
808	0.9977534821	0.0339246875
809	0.9977534821	0.03390340489
810	0.9977534821	0.03385618545
811	0.9978533273	0.03383330248
812	0.99790325	0.03378957871
813	0.9979531726	0.0337215185
814	0.99790325	0.03369548638
815	0.9979531726	0.03367027804
816	0.9979531726	0.03362562907
817	0.9979531726	0.03360080922
818	0.9979531726	0.03351124496
819	0.9979531726	0.03349126304
820	0.9979531726	0.03345833756
821	0.9979531726	0.03340801773
822	0.9979531726	0.03335735044
823	0.9979531726	0.03332220014
824	0.9979531726	0.03330886414
825	0.9979531726	0.03328617021
826	0.9980030952	0.03320758248
827	0.9980030952	0.03317095554
828	0.9979531726	0.03314000714
829	0.9980030952	0.03311778474
830	0.9980030952	0.03307948547
831	0.9980030952	0.03306642223
832	0.9980030952	0.03302121546
833	0.9980530178	0.0329586656
834	0.9981029404	0.03292818645
835	0.9981029404	0.03289791597
836	0.9981029404	0.03282126952
837	0.9981029404	0.03277908452
838	0.9981528631	0.0327366612
839	0.9981528631	0.0327126639
840	0.9981528631	0.03268476004
841	0.9982027857	0.03265018657
842	0.9982027857	0.03261833472
843	0.9982527083	0.03253881759
844	0.9982527083	0.03250541641
845	0.9982527083	0.03246195518
846	0.9983026309	0.03240936094
847	0.9983026309	0.03237158641
848	0.9983525535	0.03235596123
849	0.9983525535	0.032323424
850	0.9984024762	0.03226774878
851	0.9983525535	0.03222761757
852	0.9984024762	0.03220339426
853	0.9984024762	0.03213522094
854	0.9983525535	0.03205800124
855	0.9984024762	0.03197802452
856	0.9984024762	0.03190957542
857	0.9984024762	0.03186669449
858	0.9984024762	0.03184053237
859	0.9984523988	0.0318312909
860	0.9984024762	0.03180175562
861	0.9984024762	0.0317222724
862	0.9984024762	0.03168031398
863	0.9984024762	0.0316361723
864	0.9984523988	0.0315423255
865	0.9984523988	0.03152154978
866	0.9984523988	0.03149824516
867	0.9984523988	0.03148709273
868	0.9984523988	0.03141299122
869	0.9984523988	0.03139271888
870	0.9984523988	0.03135423981
871	0.9985023214	0.03132147908
872	0.9985023214	0.03125497552
873	0.998552244	0.03119699535
874	0.998552244	0.03118244481
875	0.998552244	0.03114658274
